Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1616976182.286319,1616976182.294512,0,8.193016052246094,0,16,15730,15,5,13105,1921,
1616976182.298106,1616976182.306461,1,8.355140686035156,0,16,15724,15,5,13099,1921,
1616976182.309744,1616976182.319105,2,9.361028671264648,0,16,15721,15,5,13096,1921,
1616976182.323125,1616976182.330232,3,7.107019424438477,0,16,15723,15,5,13098,1921,
1616976182.33355,1616976182.341319,4,7.769107818603516,0,16,15727,15,5,13102,1921,
1616976182.345354,1616976182.352897,5,7.542848587036133,0,16,15731,15,5,13106,1921,
1616976182.355898,1616976182.3636,6,7.702112197875977,0,16,15729,15,5,13104,1921,
1616976182.367689,1616976182.376552,7,8.863210678100586,0,16,15727,15,5,13102,1921,
1616976182.38221,1616976182.390565,8,8.354902267456055,0,16,15724,15,5,13099,1921,
1616976182.394704,1616976182.401309,9,6.604909896850586,0,16,15726,15,5,13101,1921,
1616976182.404281,1616976182.412178,10,7.897138595581055,0,16,15722,15,5,13097,1921,
1616976182.414739,1616976182.421106,11,6.367206573486328,0,16,15731,15,5,13106,1921,
1616976182.424674,1616976182.431105,12,6.430864334106445,0,18,15951,17,5,13238,1921,
1616976182.433943,1616976182.442385,13,8.441925048828125,0,18,15905,17,5,13192,1921,
1616976182.446036,1616976182.452385,14,6.348848342895508,0,16,15727,15,5,13102,1921,
1616976182.455836,1616976182.462378,15,6.541967391967773,0,16,15727,15,5,13102,1921,
1616976182.465783,1616976182.473548,16,7.7648162841796875,0,16,15723,15,5,13098,1921,
1616976182.476725,1616976182.483579,17,6.853818893432617,0,16,15726,15,5,13101,1921,
1616976182.48625,1616976182.494899,18,8.649110794067383,0,16,15724,15,5,13099,1921,
1616976182.497738,1616976182.505033,19,7.295131683349609,0,16,15732,15,5,13107,1921,
1616976182.508018,1616976182.516214,20,8.195877075195312,0,16,15730,15,5,13105,1921,
1616976182.520453,1616976182.527932,21,7.478952407836914,0,18,15903,17,5,13190,1921,
1616976182.531169,1616976182.538302,22,7.133007049560547,0,18,15903,17,5,13190,1921,
