Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1616977382.474863,1616977382.484409,0,9.546041488647461,0,12,11138,11,5,8689,1921,
1616977382.487441,1616977382.496089,1,8.647918701171875,0,12,11139,11,5,8690,1921,
1616977382.499278,1616977382.508618,2,9.340047836303711,0,12,11147,11,5,8698,1921,
1616977382.512151,1616977382.521678,3,9.526968002319336,0,12,11143,11,5,8694,1921,
1616977382.525518,1616977382.53605,4,10.532140731811523,0,12,11145,11,5,8696,1921,
1616977382.539275,1616977382.547111,5,7.836103439331055,0,12,11140,11,5,8691,1921,
1616977382.550382,1616977382.558811,6,8.42905044555664,0,12,11150,11,5,8701,1921,
1616977382.562678,1616977382.570721,7,8.04281234741211,0,12,11140,11,5,8691,1921,
1616977382.575069,1616977382.583285,8,8.216142654418945,0,12,11140,11,5,8691,1921,
1616977382.587482,1616977382.595004,9,7.522106170654297,0,12,11145,11,5,8696,1921,
1616977382.598207,1616977382.60618,10,7.972955703735352,0,12,11146,11,5,8697,1921,
1616977382.609765,1616977382.617276,11,7.510900497436523,0,12,11146,11,5,8697,1921,
1616977382.621107,1616977382.629133,12,8.025884628295898,0,12,11142,11,5,8693,1921,
1616977382.632794,1616977382.639663,13,6.869077682495117,0,12,11144,11,5,8695,1921,
1616977382.643445,1616977382.649923,14,6.478071212768555,0,12,11137,11,5,8688,1921,
1616977382.652722,1616977382.659885,15,7.163047790527344,0,12,11152,11,5,8703,1921,
1616977382.662714,1616977382.670582,16,7.868051528930664,0,12,11144,11,5,8695,1921,
1616977382.674348,1616977382.682326,17,7.977962493896484,0,12,11141,11,5,8692,1921,
1616977382.685847,1616977382.693732,18,7.884979248046875,0,12,11141,11,5,8692,1921,
1616977382.696771,1616977382.704997,19,8.226156234741211,0,12,11145,11,5,8696,1921,
1616977382.708002,1616977382.715538,20,7.5359344482421875,0,12,11137,11,5,8688,1921,
1616977382.718747,1616977382.725773,21,7.026195526123047,0,12,11137,11,5,8688,1921,
1616977382.728438,1616977382.734786,22,6.348133087158203,0,12,11148,11,5,8699,1921,
1616977382.738537,1616977382.746518,23,7.980823516845703,0,12,11154,11,5,8705,1921,
1616977382.749758,1616977382.756357,24,6.598949432373047,0,12,11137,11,5,8688,1921,
1616977382.759498,1616977382.767027,25,7.529020309448242,0,12,11144,11,5,8695,1921,
1616977382.770654,1616977382.779136,26,8.481979370117188,0,12,11146,11,5,8697,1921,
1616977382.782681,1616977382.789987,27,7.306098937988281,0,12,11136,11,5,8687,1921,
1616977382.793694,1616977382.799617,28,5.923032760620117,0,12,11141,11,5,8692,1921,
1616977382.803238,1616977382.811486,29,8.248090744018555,0,12,11139,11,5,8690,1921,
1616977382.81485,1616977382.82132,30,6.469964981079102,0,12,11137,11,5,8688,1921,
1616977382.824218,1616977382.831938,31,7.719993591308594,0,12,11148,11,5,8699,1921,
1616977382.835475,1616977382.843176,32,7.700920104980469,0,12,11137,11,5,8688,1921,
1616977382.846675,1616977382.853787,33,7.112026214599609,0,12,11144,11,5,8695,1921,
1616977382.857563,1616977382.864496,34,6.932973861694336,0,12,11143,11,5,8694,1921,
1616977382.867285,1616977382.875638,35,8.352994918823242,0,12,11151,11,5,8702,1921,
1616977382.878313,1616977382.885714,36,7.400989532470703,0,12,11139,11,5,8690,1921,
1616977382.888797,1616977382.896665,37,7.868051528930664,0,12,11143,11,5,8694,1921,
1616977382.899962,1616977382.908534,38,8.572101593017578,0,12,11147,11,5,8698,1921,
1616977382.912571,1616977382.920245,39,7.673978805541992,0,12,11146,11,5,8697,1921,
1616977382.924124,1616977382.932344,40,8.21995735168457,0,12,11139,11,5,8690,1921,
1616977382.935205,1616977382.942774,41,7.569074630737305,0,12,11143,11,5,8694,1921,
1616977382.947316,1616977382.953791,42,6.474971771240234,0,12,11149,11,5,8700,1921,
1616977382.957632,1616977382.96567,43,8.038043975830078,0,12,11147,11,5,8698,1921,
1616977382.968537,1616977382.976817,44,8.279800415039062,0,12,11142,11,5,8693,1921,
1616977382.980706,1616977382.987299,45,6.592988967895508,0,12,11141,11,5,8692,1921,
1616977382.990634,1616977382.997697,46,7.063150405883789,0,12,11142,11,5,8693,1921,
1616977383.00161,1616977383.008921,47,7.3108673095703125,0,12,11138,11,5,8689,1921,
1616977383.011908,1616977383.020189,48,8.28099250793457,0,12,11149,11,5,8700,1921,
1616977383.024038,1616977383.031759,49,7.720947265625,0,12,11144,11,5,8695,1921,
1616977383.035336,1616977383.043747,50,8.410930633544922,0,12,11142,11,5,8693,1921,
1616977383.047046,1616977383.05493,51,7.884025573730469,0,12,11140,11,5,8691,1921,
1616977383.058641,1616977383.065315,52,6.674051284790039,0,12,11151,11,5,8702,1921,
1616977383.068652,1616977383.077367,53,8.715152740478516,0,12,11148,11,5,8699,1921,
1616977383.080492,1616977383.087148,54,6.65593147277832,0,12,11146,11,5,8697,1921,
1616977383.091316,1616977383.099273,55,7.956981658935547,0,12,11144,11,5,8695,1921,
1616977383.102036,1616977383.109347,56,7.311105728149414,0,12,11147,11,5,8698,1921,
1616977383.113009,1616977383.120333,57,7.323980331420898,0,12,11140,11,5,8691,1921,
1616977383.12367,1616977383.132883,58,9.212970733642578,0,12,11139,11,5,8690,1921,
1616977383.136038,1616977383.142469,59,6.430864334106445,0,12,11141,11,5,8692,1921,
1616977383.145754,1616977383.153935,60,8.180856704711914,0,12,11137,11,5,8688,1921,
1616977383.157336,1616977383.165633,61,8.296966552734375,0,12,11142,11,5,8693,1921,
1616977383.1693,1616977383.17755,62,8.249998092651367,0,12,11152,11,5,8703,1921,
1616977383.181517,1616977383.188372,63,6.855010986328125,0,12,11134,11,5,8685,1921,
1616977383.192099,1616977383.200283,64,8.183956146240234,0,12,11149,11,5,8700,1921,
1616977383.204281,1616977383.212586,65,8.304834365844727,0,12,11135,11,5,8686,1921,
1616977383.216347,1616977383.22394,66,7.592916488647461,0,12,11141,11,5,8692,1921,
1616977383.227063,1616977383.235147,67,8.08405876159668,0,12,11139,11,5,8690,1921,
1616977383.239081,1616977383.246545,68,7.464170455932617,0,12,11145,11,5,8696,1921,
1616977383.250128,1616977383.258239,69,8.111000061035156,0,12,11141,11,5,8692,1921,
1616977383.260737,1616977383.268213,70,7.476091384887695,0,12,11144,11,5,8695,1921,
1616977383.271752,1616977383.279292,71,7.539987564086914,0,12,11142,11,5,8693,1921,
