Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1551,5.218029022216797,10,12,6390,7,8,3953,1909,
1552,26938.66801261902,10,37,8847,8,33,3957,3262,
1553,3.998994827270508,10,12,6389,8,8,3952,1909,
1554,3.4508705139160156,10,13,6521,8,9,3956,1993,
1555,3.2961368560791016,10,12,6388,8,8,3951,1909,
1556,4.459142684936523,10,12,6391,8,8,3954,1909,
1557,4.021883010864258,10,12,6395,8,8,3958,1909,
1558,4.253864288330078,10,13,6633,8,9,3957,2104,
1559,3.9870738983154297,10,12,6393,8,8,3956,1909,
1560,3.365039825439453,10,12,6396,8,8,3959,1909,
1561,3.454923629760742,10,12,6392,8,8,3955,1909,
1562,3.1099319458007812,10,12,6391,8,8,3954,1909,
1563,3.8771629333496094,10,12,6388,8,8,3951,1909,
1564,0.0,10,1,1244,2,0,1200,0,
1565,5.403995513916016,10,12,6389,7,8,3952,1909,
1566,3.6628246307373047,10,12,6394,8,8,3957,1909,
1567,3.545045852661133,10,12,6398,8,8,3961,1909,
1568,26973.82402420044,10,28,7981,8,24,3960,2789,
1569,3.957033157348633,10,12,6394,8,8,3957,1909,
1570,3.673076629638672,10,12,6392,8,8,3955,1909,
1571,3.3948421478271484,10,11,6315,8,7,3954,1877,
1572,3.4990310668945312,10,12,6397,8,8,3960,1909,
1573,3.634929656982422,10,12,6398,8,8,3961,1909,
1574,3.8690567016601562,10,12,6389,8,8,3952,1909,
1575,3.373861312866211,10,13,6633,8,9,3957,2104,
1576,0.0,10,1,1244,2,0,1200,0,
1577,5.560159683227539,10,12,6395,7,8,3958,1909,
1578,3.8831233978271484,10,14,6599,8,10,3958,2025,
1579,3.545045852661133,10,12,6396,8,8,3959,1909,
1580,0.0,10,1,1244,2,0,1200,0,
1581,5.347967147827148,10,12,6398,7,8,3961,1909,
1582,21.99411392211914,10,16,7009,10,11,4089,2216,
1583,3.715038299560547,10,13,6636,8,9,3960,2104,
1584,3.8459300994873047,10,12,6391,8,8,3954,1909,
1585,19.028902053833008,10,19,7401,10,14,4087,2478,
1586,3.5369396209716797,10,12,6397,8,8,3960,1909,
1587,3.2329559326171875,10,12,6396,8,8,3959,1909,
1588,0.0,10,1,1244,2,0,1200,0,
1589,5.565166473388672,10,12,6388,7,8,3951,1909,
1590,34.31105613708496,10,14,6596,8,10,3953,2027,
1591,0.0,10,1,1244,2,0,1200,0,
1592,15.373945236206055,10,15,6874,9,10,4080,2134,
1593,54.086923599243164,10,18,7386,12,11,4378,2216,
1594,26989.768028259277,10,32,8586,10,27,4082,3096,
1595,19.890785217285156,10,16,7003,10,11,4083,2216,
1596,4.386186599731445,10,12,6397,8,8,3960,1909,
1597,3.9110183715820312,10,12,6388,8,8,3951,1909,
1598,3.406047821044922,10,12,6389,8,8,3952,1909,
1599,3.962993621826172,10,12,6396,8,8,3959,1909,
1600,3.998994827270508,10,12,6391,8,8,3954,1909,
1601,4.036188125610352,10,12,6393,8,8,3956,1909,
1602,0.0,10,1,1244,2,0,1200,0,
1603,5.605936050415039,10,12,6391,7,8,3954,1909,
1604,3.7391185760498047,10,14,6602,8,10,3961,2025,
1605,4.191875457763672,10,12,6399,8,8,3962,1909,
1606,18.72086524963379,10,16,6749,8,12,3954,2091,
1607,5.385875701904297,10,12,6396,8,8,3959,1909,
1608,4.349946975708008,10,12,6392,8,8,3955,1909,
1609,33.23984146118164,10,15,6727,8,11,3960,2107,
1610,4.545927047729492,10,12,6388,8,8,3951,1909,
1611,19.958972930908203,10,16,7003,10,11,4083,2216,
1612,3.798961639404297,10,12,6395,8,8,3958,1909,
1613,3.796815872192383,10,12,6388,8,8,3951,1909,
1614,3.448963165283203,10,12,6391,8,8,3954,1909,
1615,3.615140914916992,10,12,6395,8,8,3958,1909,
1616,3.482818603515625,10,12,6389,8,8,3952,1909,
1617,3.587007522583008,10,12,6389,8,8,3952,1909,
1618,3.4961700439453125,10,12,6398,8,8,3961,1909,
1619,3.6928653717041016,10,12,6393,8,8,3956,1909,
1620,3.8471221923828125,10,12,6392,8,8,3955,1909,
1621,4.163980484008789,10,12,6395,8,8,3958,1909,
1622,3.7260055541992188,10,12,6389,8,8,3952,1909,
1623,3.504037857055664,10,12,6396,8,8,3959,1909,
1624,3.4749507904052734,10,13,6632,8,9,3956,2104,
1625,5.198001861572266,10,12,6389,8,8,3952,1909,
1626,3.6220550537109375,10,12,6398,8,8,3961,1909,
1627,4.052877426147461,10,12,6389,8,8,3952,1909,
1628,3.699064254760742,10,12,6398,8,8,3961,1909,
1629,3.8030147552490234,10,12,6397,8,8,3960,1909,
1630,0.0,10,1,1244,2,0,1200,0,
1631,21.912097930908203,10,15,6882,9,10,4088,2134,
1632,18.899917602539062,10,16,7008,10,11,4088,2216,
1633,25465.61598777771,10,36,14871,8,32,3959,9328,
1634,3.6520957946777344,10,12,6388,8,8,3951,1909,
1635,3.5390853881835938,10,12,6389,8,8,3952,1909,
1636,3.7419795989990234,10,12,6392,8,8,3955,1909,
1637,3.741025924682617,10,13,6634,8,9,3958,2104,
1638,3.6149024963378906,10,13,6626,8,9,3950,2104,
1639,3.9038658142089844,10,12,6392,8,8,3955,1909,
