Timestamp,Timestamp (Seconds),CPU %,CPU Frequency,Virtual Memory %,Virtual Memory,Swap Memory %,Swap Memory,Disk Usage %,Disk Usage,
2021-03-24 17:26:00.002747,1616606760.002747,3.7,,34.6,1157468160,0.0,0,55.6,11063013376,
2021-03-24 17:26:00.013666,1616606760.013666,40.0,,34.6,1158508544,0.0,0,55.6,11063013376,
2021-03-24 17:26:00.024848,1616606760.024848,40.0,,34.7,1160978432,0.0,0,55.6,11063013376,
2021-03-24 17:26:00.035912,1616606760.035912,0.0,,34.7,1160978432,0.0,0,55.6,11063013376,
2021-03-24 17:26:00.046989,1616606760.046989,66.7,,34.7,1161240576,0.0,0,55.6,11063013376,
2021-03-24 17:26:00.057819,1616606760.057819,0.0,,34.7,1161240576,0.0,0,55.6,11063013376,
2021-03-24 17:26:00.069098,1616606760.069098,0.0,,34.7,1161240576,0.0,0,55.6,11063013376,
2021-03-24 17:26:00.080137,1616606760.080137,25.0,,34.7,1161240576,0.0,0,55.6,11063013376,
2021-03-24 17:26:00.091209,1616606760.091209,0.0,,34.7,1161240576,0.0,0,55.6,11063013376,
2021-03-24 17:26:00.102259,1616606760.102259,0.0,,34.7,1161240576,0.0,0,55.6,11063013376,
2021-03-24 17:26:00.113441,1616606760.113441,0.0,,34.7,1161240576,0.0,0,55.6,11063013376,
2021-03-24 17:26:00.124504,1616606760.124504,0.0,,34.7,1161240576,0.0,0,55.6,11063013376,
2021-03-24 17:26:00.135679,1616606760.135679,0.0,,34.7,1161240576,0.0,0,55.6,11063013376,
2021-03-24 17:26:00.146764,1616606760.146764,20.0,,34.7,1161240576,0.0,0,55.6,11063013376,
2021-03-24 17:26:00.157847,1616606760.157847,0.0,,34.7,1161240576,0.0,0,55.6,11063013376,
2021-03-24 17:26:00.168886,1616606760.168886,0.0,,34.7,1161240576,0.0,0,55.6,11063013376,
2021-03-24 17:26:00.180021,1616606760.180021,0.0,,34.7,1161240576,0.0,0,55.6,11063013376,
2021-03-24 17:26:00.191042,1616606760.191042,20.0,,34.7,1161240576,0.0,0,55.6,11063013376,
2021-03-24 17:26:00.202085,1616606760.202085,0.0,,34.7,1161240576,0.0,0,55.6,11063013376,
