Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
2478,30.54213523864746,40,14,5770,7,9,3051,2103,
2479,25502.182960510254,40,35,13530,8,30,3033,8957,
2480,26992.387056350708,40,34,7547,7,30,2882,3169,
2481,285.71510314941406,40,15,5766,8,11,2884,2222,
2482,25477.783918380737,40,32,14215,7,28,3957,8850,
2483,512.6280784606934,40,16,5661,8,12,2880,2077,
2484,26995.04518508911,40,33,8254,9,27,3256,3546,
2485,539.3450260162354,40,20,6194,8,16,2884,2430,
2486,25487.49089241028,40,35,13433,8,31,2885,9008,
2487,26989.707946777344,40,32,7174,7,28,2883,2883,
2488,591.7370319366455,40,19,7015,8,15,3962,2217,
2489,4.54401969909668,40,11,6153,7,7,3960,1709,
2490,25461.305856704712,40,31,13972,8,27,3958,8650,
2491,25457.15284347534,40,37,13579,7,33,2887,9064,
2492,24.335145950317383,40,13,5447,8,9,2885,1990,
2493,6.600856781005859,40,10,6242,7,6,3958,1844,
2494,48.1719970703125,40,14,6552,8,10,3956,1980,
2495,3.8290023803710938,40,12,6395,8,8,3954,1913,
2496,3.548145294189453,40,12,6389,8,8,3958,1903,
2497,319.11492347717285,40,18,7378,8,14,3956,2630,
2498,8559.771060943604,40,26,12220,16,13,8781,2295,
2499,26980.698108673096,40,25,7581,7,21,3955,2526,
2500,3.823995590209961,40,13,6464,8,9,3960,1932,
2501,26970.298051834106,40,25,7587,8,21,3961,2526,
2502,4.3048858642578125,40,10,6246,8,6,3962,1844,
2503,26976.89700126648,40,27,7902,8,23,3955,2759,
2504,321.24996185302734,40,18,7367,8,14,3951,2624,
2505,26954.803943634033,40,36,7676,7,32,2883,3209,
2506,42.70005226135254,40,15,6636,7,11,3957,2019,
2507,25489.259958267212,40,26,7710,8,22,3958,2608,
2508,5.179882049560547,40,13,6455,7,9,3951,1932,
2509,58.9752197265625,40,14,5663,8,9,3057,1990,
2510,2152.029037475586,40,19,5971,7,15,2883,2252,
2511,305.1719665527344,40,20,6224,8,16,2891,2453,
2512,26968.62006187439,40,28,7978,8,24,3951,2795,
2513,540.3921604156494,40,17,7304,12,9,4452,2104,
2514,266.10612869262695,40,14,5688,8,10,2886,2186,
2515,1165.565013885498,40,18,5877,8,14,2881,2204,
2516,25503.432035446167,40,27,7789,7,23,3955,2646,
2517,319.40507888793945,40,17,7139,8,13,3955,2436,
2518,25479.72798347473,40,32,14074,7,28,3950,8716,
2519,232.76901245117188,40,13,5457,7,9,2889,1996,
2520,3.557920455932617,40,10,6067,8,6,3951,1676,
2521,184.51404571533203,40,19,6970,7,15,3954,2180,
2522,26983.484983444214,40,28,7987,8,24,3960,2795,
2523,25461.419105529785,40,31,13966,7,27,3952,8650,
2524,3.554105758666992,40,12,6387,8,8,3950,1909,
2525,33.410072326660156,40,13,6478,8,9,3959,1947,
2526,6.000995635986328,40,11,6155,7,7,3962,1709,
2527,5.831003189086914,40,10,6070,7,6,3954,1676,
2528,61.30695343017578,40,13,6470,8,9,3951,1947,
2529,53.48491668701172,40,15,5717,8,11,2886,2171,
2530,4.873037338256836,40,10,6077,7,6,3961,1676,
2531,25478.35087776184,40,35,14306,7,31,3958,8808,
2532,5.707025527954102,40,12,6399,7,8,3962,1909,
2533,3.7720203399658203,40,10,6073,8,6,3958,1675,
2534,26996.413946151733,40,29,7037,8,25,2889,2872,
2535,25465.26598930359,40,36,13502,7,32,2881,9037,
2536,25459.14387702942,40,36,14433,7,32,3958,8891,
2537,26975.24380683899,40,26,7665,7,22,3962,2559,
2538,36.3619327545166,40,13,6474,7,9,3955,1947,
2539,90.47794342041016,40,13,5425,8,8,3055,1798,
2540,5.866050720214844,40,11,6311,7,7,3950,1877,
2541,20.168066024780273,40,13,5567,8,9,2891,2104,
2542,26979.64906692505,40,29,8056,8,25,3962,2818,
2543,25483.690977096558,40,35,7506,7,31,2879,3087,
2544,3.6230087280273438,40,9,5998,8,5,3960,1642,
2545,26973.85001182556,40,29,8064,8,25,3960,2828,
2546,25472.670078277588,40,34,15209,7,30,2884,10829,
2547,25911.78297996521,40,34,11281,8,30,2885,6900,
2548,713.2649421691895,40,15,5739,8,10,3055,2024,
2549,54.06498908996582,40,15,5761,8,11,2882,2219,
2550,3.916025161743164,40,10,6239,8,6,3955,1844,
2551,34.8210334777832,40,14,5473,8,10,2879,1978,
2552,4.787921905517578,40,11,6322,7,7,3962,1876,
2553,5.157947540283203,40,10,6073,7,6,3958,1675,
2554,21.398067474365234,40,15,5765,8,11,2887,2218,
2555,51.911115646362305,40,14,5777,7,9,3055,2106,
2556,507.27391242980957,40,17,5757,8,13,2891,2118,
2557,6.1969757080078125,40,13,6459,7,9,3950,1937,
2558,52.082061767578125,40,13,5527,8,8,3045,1910,
2559,25458.6660861969,40,30,13891,8,26,3954,8617,
2560,26157.557010650635,40,28,7894,8,24,3957,2705,
2561,3.698110580444336,40,11,6313,8,7,3952,1877,
2562,5.177021026611328,40,11,6314,7,7,3953,1877,
2563,25500.602960586548,40,25,7628,7,21,3956,2572,
2564,3.5750865936279297,40,12,6396,8,8,3959,1909,
2565,17.611026763916016,40,13,6463,7,9,3953,1938,
2566,48.81715774536133,40,16,6705,7,12,3951,2050,
2567,25495.18895149231,40,25,7626,8,21,3952,2574,
2568,4.9381256103515625,40,11,6152,7,7,3959,1709,
2569,3.632068634033203,40,12,6389,8,8,3958,1903,
2570,26973.201990127563,40,32,8355,7,28,3952,2995,
2571,3.412008285522461,40,11,6315,8,7,3954,1877,
2572,17.342090606689453,40,14,5636,7,10,2886,2134,
2573,58.11595916748047,40,15,6629,7,11,3953,2016,
2574,912.9810333251953,40,23,9410,14,13,5906,2492,
2575,3.6110877990722656,40,11,6316,8,7,3956,1876,
2576,25472.51319885254,40,31,12756,8,27,2885,8507,
2577,5.838155746459961,40,11,6316,8,7,3955,1877,
2578,25458.213090896606,40,33,13213,8,29,2884,8877,
2579,1149.427890777588,40,23,7874,11,16,4397,2465,
2580,14.651060104370117,40,14,5638,7,10,2888,2134,
2581,25460.31403541565,40,35,13285,7,31,2883,8862,
2582,27244.487047195435,40,43,11169,12,35,4451,4826,
2583,3.512144088745117,40,11,6155,8,7,3962,1709,
2584,3.72314453125,40,12,6399,8,8,3962,1909,
2585,25439.207077026367,40,34,14251,7,30,3954,8801,
2586,87.23902702331543,40,15,5677,7,10,3037,1980,
2587,5.287885665893555,40,13,6467,8,9,3950,1945,
2588,57.02614784240723,40,16,5973,8,11,3051,2218,
2589,5.036115646362305,40,13,6463,8,9,3954,1937,
2590,10784.929990768433,40,27,9044,14,20,3849,4007,
2591,311.13314628601074,40,19,7493,11,11,4439,2218,
2592,21072.529077529907,40,30,10998,13,22,3804,5874,
2593,4.638910293579102,40,12,6399,8,8,3962,1909,
2594,774.9152183532715,40,21,7891,7,17,3953,3014,
2595,21314.510107040405,40,31,10228,14,23,3794,5070,
2596,25461.984157562256,40,31,14140,7,27,3959,8817,
2597,26972.622871398926,40,29,8050,8,25,3956,2818,
2598,6.06083869934082,40,13,6455,7,9,3951,1932,
2599,25507.508039474487,40,26,7705,7,22,3953,2608,
2600,26989.55512046814,40,28,7986,7,24,3959,2795,
2601,17.819881439208984,40,14,6556,8,10,3962,1978,
2602,5.18488883972168,40,11,6314,7,7,3953,1877,
2603,25453.351974487305,40,30,13892,8,26,3955,8617,
2604,16.227006912231445,40,15,5767,8,11,2889,2218,
2605,508.6491107940674,40,19,6596,8,15,2888,2872,
2606,511.72900199890137,40,20,6219,8,16,2886,2453,
2607,4.45103645324707,40,12,6389,8,8,3952,1909,
2608,336.68017387390137,40,18,5866,8,14,2883,2191,
2609,16.991138458251953,40,14,5521,8,10,2883,2022,
2610,332.46898651123047,40,14,5359,8,10,2891,1852,
2611,18.726110458374023,40,14,5634,8,10,2882,2136,
2612,315.1891231536865,40,16,5822,8,12,2880,2238,
2613,80.58595657348633,40,16,5959,8,11,3037,2218,
2614,19.304990768432617,40,14,5638,7,10,2888,2134,
2615,35.48288345336914,40,14,5521,8,10,2881,2024,
2616,7.364988327026367,40,13,6487,7,9,3961,1954,
2617,5.979061126708984,40,9,5995,7,5,3957,1642,
2618,25460.60299873352,40,32,14210,8,28,3952,8850,
2619,26958.87303352356,40,34,7398,7,30,2881,3021,
2620,5.34820556640625,40,10,6072,8,6,3957,1675,
2621,5.035877227783203,40,12,6396,7,8,3959,1909,
2622,4.668951034545898,40,12,6387,8,8,3950,1909,
2623,5.619049072265625,40,12,6387,7,8,3950,1909,
2624,25493.337869644165,40,26,7709,7,22,3957,2608,
2625,25500.940084457397,40,24,7550,7,20,3955,2539,
2626,388.9279365539551,40,22,7062,9,16,3262,2832,
2627,5.768060684204102,40,10,6074,8,6,3958,1676,
2628,24.13797378540039,40,14,5518,8,10,2880,2022,
2629,26982.898950576782,40,29,7031,8,25,2883,2872,
2630,5.6171417236328125,40,9,5991,7,5,3953,1642,
2631,27205.668926239014,40,32,7380,7,28,2881,3091,
2632,36.39507293701172,40,13,6471,8,9,3952,1947,
2633,4.563093185424805,40,10,6234,8,6,3950,1844,
2634,4.899024963378906,40,12,6387,8,8,3956,1903,
2635,247.73192405700684,40,11,6321,8,7,3958,1879,
2636,29.183149337768555,40,11,5364,7,6,3035,1845,
2637,25452.038049697876,40,32,14062,8,28,3952,8702,
2638,27206.700801849365,40,37,8308,7,33,2885,3795,
2639,3.696918487548828,40,12,6402,8,8,3961,1913,
2640,25731.02617263794,40,37,12640,8,33,2890,8122,
2641,25484.398126602173,40,32,14078,7,28,3954,8716,
2642,307.9211711883545,40,17,5945,8,13,2879,2318,
2643,5.753993988037109,40,12,6389,7,8,3952,1909,
2644,26980.315923690796,40,36,8090,8,32,2883,3623,
2645,25506.497144699097,40,28,6999,8,24,2888,2879,
2646,3.8568973541259766,40,12,6396,8,8,3955,1913,
2647,44.464826583862305,40,13,6469,8,9,3951,1946,
2648,6.512165069580078,40,13,6464,8,9,3960,1932,
2649,26949.565887451172,40,40,7896,8,36,2888,3248,
2650,4.50897216796875,40,12,6387,8,8,3950,1909,
2651,57.98697471618652,40,16,5957,8,11,3035,2218,
2652,26942.366123199463,40,39,8876,7,35,3958,3202,
2653,5.052089691162109,40,12,6395,7,8,3954,1913,
2654,26951.025009155273,40,41,7934,7,37,2880,3250,
2655,39.832115173339844,40,14,6554,7,10,3951,1987,
2656,25472.77808189392,40,35,14636,8,31,3951,9145,
2657,25457.66592025757,40,30,13894,8,26,3957,8617,
2658,16.711950302124023,40,14,5635,7,10,2885,2134,
2659,30.21097183227539,40,15,5849,7,10,3055,2134,
2660,26937.95680999756,40,35,8522,8,31,3951,3031,
2661,25454.55002784729,40,30,13894,8,26,3957,8617,
2662,305.13906478881836,40,16,5711,8,12,2881,2126,
2663,25507.784843444824,40,25,7630,7,21,3958,2572,
2664,25484.94005203247,40,33,15128,7,29,2880,10796,
2665,26981.045961380005,40,31,8248,8,27,3962,2922,
2666,3.907918930053711,40,11,6317,8,7,3956,1877,
2667,26954.055070877075,40,34,7406,7,30,2889,3021,
2668,304.37302589416504,40,17,5797,8,13,2891,2158,
2669,26976.872205734253,40,27,7901,8,23,3954,2759,
2670,320.7130432128906,40,18,5858,8,14,2885,2181,
2671,5.070924758911133,40,9,5997,7,5,3959,1642,
2672,304.2130470275879,40,14,5567,8,10,2892,2059,
2673,26976.474046707153,40,27,7905,7,23,3958,2759,
2674,4.518032073974609,40,10,6242,7,6,3958,1844,
2675,3.9319992065429688,40,12,6388,8,8,3951,1909,
2676,34.008026123046875,40,13,6474,8,9,3955,1947,
2677,5.640983581542969,40,10,6240,7,6,3956,1844,
2678,16.770124435424805,40,10,5173,7,6,2888,1845,
2679,25502.955198287964,40,24,7547,7,20,3952,2539,
2680,89.56098556518555,40,15,5692,7,10,3055,1977,
2681,560.1890087127686,40,16,5825,8,12,2884,2237,
2682,26978.15704345703,40,25,7581,8,21,3955,2526,
2683,18.936872482299805,40,14,5475,8,10,2881,1978,
2684,26993.04509162903,40,31,7066,8,27,2888,2814,
2685,21.06308937072754,40,15,5758,8,11,2882,2216,
2686,154.6628475189209,40,18,6583,8,12,3253,2538,
2687,25476.54414176941,40,32,14085,7,28,3961,8716,
2688,25986.472129821777,40,36,12588,8,32,2889,8115,
2689,25452.29983329773,40,34,14251,7,30,3954,8801,
2690,25526.861906051636,40,35,14345,8,31,3953,8852,
2691,5.534172058105469,40,12,6390,7,8,3953,1909,
2692,26966.55297279358,40,40,9996,9,34,3256,4980,
2693,26984.43603515625,40,26,7665,8,22,3962,2559,
2694,26989.72797393799,40,35,7482,7,31,2886,3056,
2695,26981.618881225586,40,27,7906,8,23,3959,2759,
2696,25500.19907951355,40,34,13302,8,29,3043,8763,
2697,354.964017868042,40,18,5990,7,14,2891,2307,
2698,19.026994705200195,40,12,5205,7,8,2879,1798,
2699,18.800020217895508,40,13,6478,8,9,3960,1946,
2700,26980.132818222046,40,26,7822,8,22,3952,2726,
2701,3.7581920623779297,40,11,6313,8,7,3953,1876,
2702,15.88582992553711,40,10,5173,7,6,2888,1845,
2703,6.227970123291016,40,12,6388,7,8,3951,1909,
2704,25480.01503944397,40,35,8403,7,31,3952,2911,
2705,5.469799041748047,40,11,6319,7,7,3958,1877,
2706,26981.3129901886,40,29,8060,8,25,3954,2830,
2707,5.279064178466797,40,9,6000,8,5,3962,1642,
