Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
0,9.546041488647461,0,12,11138,11,5,8689,1921,
1,8.647918701171875,0,12,11139,11,5,8690,1921,
2,9.340047836303711,0,12,11147,11,5,8698,1921,
3,9.526968002319336,0,12,11143,11,5,8694,1921,
4,10.532140731811523,0,12,11145,11,5,8696,1921,
5,7.836103439331055,0,12,11140,11,5,8691,1921,
6,8.42905044555664,0,12,11150,11,5,8701,1921,
7,8.04281234741211,0,12,11140,11,5,8691,1921,
8,8.216142654418945,0,12,11140,11,5,8691,1921,
9,7.522106170654297,0,12,11145,11,5,8696,1921,
10,7.972955703735352,0,12,11146,11,5,8697,1921,
11,7.510900497436523,0,12,11146,11,5,8697,1921,
12,8.025884628295898,0,12,11142,11,5,8693,1921,
13,6.869077682495117,0,12,11144,11,5,8695,1921,
14,6.478071212768555,0,12,11137,11,5,8688,1921,
15,7.163047790527344,0,12,11152,11,5,8703,1921,
16,7.868051528930664,0,12,11144,11,5,8695,1921,
17,7.977962493896484,0,12,11141,11,5,8692,1921,
18,7.884979248046875,0,12,11141,11,5,8692,1921,
19,8.226156234741211,0,12,11145,11,5,8696,1921,
20,7.5359344482421875,0,12,11137,11,5,8688,1921,
21,7.026195526123047,0,12,11137,11,5,8688,1921,
22,6.348133087158203,0,12,11148,11,5,8699,1921,
23,7.980823516845703,0,12,11154,11,5,8705,1921,
24,6.598949432373047,0,12,11137,11,5,8688,1921,
25,7.529020309448242,0,12,11144,11,5,8695,1921,
26,8.481979370117188,0,12,11146,11,5,8697,1921,
27,7.306098937988281,0,12,11136,11,5,8687,1921,
28,5.923032760620117,0,12,11141,11,5,8692,1921,
29,8.248090744018555,0,12,11139,11,5,8690,1921,
30,6.469964981079102,0,12,11137,11,5,8688,1921,
31,7.719993591308594,0,12,11148,11,5,8699,1921,
32,7.700920104980469,0,12,11137,11,5,8688,1921,
33,7.112026214599609,0,12,11144,11,5,8695,1921,
34,6.932973861694336,0,12,11143,11,5,8694,1921,
35,8.352994918823242,0,12,11151,11,5,8702,1921,
36,7.400989532470703,0,12,11139,11,5,8690,1921,
37,7.868051528930664,0,12,11143,11,5,8694,1921,
38,8.572101593017578,0,12,11147,11,5,8698,1921,
39,7.673978805541992,0,12,11146,11,5,8697,1921,
40,8.21995735168457,0,12,11139,11,5,8690,1921,
41,7.569074630737305,0,12,11143,11,5,8694,1921,
42,6.474971771240234,0,12,11149,11,5,8700,1921,
43,8.038043975830078,0,12,11147,11,5,8698,1921,
44,8.279800415039062,0,12,11142,11,5,8693,1921,
45,6.592988967895508,0,12,11141,11,5,8692,1921,
46,7.063150405883789,0,12,11142,11,5,8693,1921,
47,7.3108673095703125,0,12,11138,11,5,8689,1921,
48,8.28099250793457,0,12,11149,11,5,8700,1921,
49,7.720947265625,0,12,11144,11,5,8695,1921,
50,8.410930633544922,0,12,11142,11,5,8693,1921,
51,7.884025573730469,0,12,11140,11,5,8691,1921,
52,6.674051284790039,0,12,11151,11,5,8702,1921,
53,8.715152740478516,0,12,11148,11,5,8699,1921,
54,6.65593147277832,0,12,11146,11,5,8697,1921,
55,7.956981658935547,0,12,11144,11,5,8695,1921,
56,7.311105728149414,0,12,11147,11,5,8698,1921,
57,7.323980331420898,0,12,11140,11,5,8691,1921,
58,9.212970733642578,0,12,11139,11,5,8690,1921,
59,6.430864334106445,0,12,11141,11,5,8692,1921,
60,8.180856704711914,0,12,11137,11,5,8688,1921,
61,8.296966552734375,0,12,11142,11,5,8693,1921,
62,8.249998092651367,0,12,11152,11,5,8703,1921,
63,6.855010986328125,0,12,11134,11,5,8685,1921,
64,8.183956146240234,0,12,11149,11,5,8700,1921,
65,8.304834365844727,0,12,11135,11,5,8686,1921,
66,7.592916488647461,0,12,11141,11,5,8692,1921,
67,8.08405876159668,0,12,11139,11,5,8690,1921,
68,7.464170455932617,0,12,11145,11,5,8696,1921,
69,8.111000061035156,0,12,11141,11,5,8692,1921,
70,7.476091384887695,0,12,11144,11,5,8695,1921,
71,7.539987564086914,0,12,11142,11,5,8693,1921,
72,8.86392593383789,0,12,11142,11,5,8693,1921,
73,7.950067520141602,0,12,11145,11,5,8696,1921,
74,7.921934127807617,0,12,11144,11,5,8695,1921,
75,7.648944854736328,0,12,11144,11,5,8695,1921,
76,8.313179016113281,0,12,11149,11,5,8700,1921,
77,7.647991180419922,0,12,11146,11,5,8697,1921,
78,8.816957473754883,0,12,11146,11,5,8697,1921,
79,7.953166961669922,0,12,11142,11,5,8693,1921,
