Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
111,8.822917938232422,0,11,7578,8,7,5111,1983,
112,9.521007537841797,0,9,7433,8,5,5116,1921,
113,8.989095687866211,0,9,7431,8,5,5114,1921,
114,7.704019546508789,0,9,7431,8,5,5114,1921,
115,9.173870086669922,0,9,7424,8,5,5107,1921,
116,11.878013610839844,0,9,7431,8,5,5114,1921,
117,7.852077484130859,0,9,7426,8,5,5109,1921,
118,7.950067520141602,0,9,7427,8,5,5110,1921,
119,8.416891098022461,0,9,7433,8,5,5116,1921,
120,9.594917297363281,0,9,7432,8,5,5115,1921,
121,10.448932647705078,0,9,7424,8,5,5107,1921,
122,8.293867111206055,0,9,7435,8,5,5118,1921,
123,9.411811828613281,0,9,7432,8,5,5115,1921,
124,10.164022445678711,0,9,7431,8,5,5114,1921,
125,9.580135345458984,0,9,7432,8,5,5115,1921,
126,9.413003921508789,0,9,7425,8,5,5108,1921,
127,7.175922393798828,0,9,7432,8,5,5115,1921,
128,13.429880142211914,0,9,7431,8,5,5114,1921,
129,9.651899337768555,0,9,7426,8,5,5109,1921,
130,10.59579849243164,0,9,7434,8,5,5117,1921,
131,7.75599479675293,0,9,7436,8,5,5119,1921,
132,9.457826614379883,0,9,7431,8,5,5114,1921,
133,7.505893707275391,0,9,7434,8,5,5117,1921,
134,7.037878036499023,0,9,7427,8,5,5110,1921,
135,8.152008056640625,0,9,7429,8,5,5112,1921,
136,9.202003479003906,0,9,7426,8,5,5109,1921,
137,6.083011627197266,0,9,7424,8,5,5107,1921,
138,9.756088256835938,0,9,7426,8,5,5109,1921,
139,8.722066879272461,0,9,7429,8,5,5112,1921,
140,9.105205535888672,0,9,7428,8,5,5111,1921,
141,9.799003601074219,0,9,7427,8,5,5110,1921,
142,6.654977798461914,0,9,7431,8,5,5114,1921,
143,7.145166397094727,0,9,7434,8,5,5117,1921,
144,9.240150451660156,0,9,7431,8,5,5114,1921,
145,9.817838668823242,0,9,7432,8,5,5115,1921,
146,9.859085083007812,0,9,7432,8,5,5115,1921,
147,7.302999496459961,0,9,7427,8,5,5110,1921,
148,8.126974105834961,0,9,7426,8,5,5109,1921,
149,9.073972702026367,0,9,7428,8,5,5111,1921,
150,7.153987884521484,0,9,7424,8,5,5107,1921,
151,6.9789886474609375,0,9,7431,8,5,5114,1921,
152,6.744146347045898,0,9,7425,8,5,5108,1921,
153,10.118961334228516,0,9,7434,8,5,5117,1921,
154,8.824825286865234,0,9,7426,8,5,5109,1921,
155,10.114192962646484,0,9,7429,8,5,5112,1921,
156,8.394956588745117,0,9,7431,8,5,5114,1921,
157,9.251832962036133,0,9,7429,8,5,5112,1921,
158,6.53386116027832,0,9,7431,8,5,5114,1921,
159,7.153034210205078,0,9,7428,8,5,5111,1921,
