Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
0,9.160995483398438,0,16,15721,15,5,13096,1921,
1,8.10694694519043,0,18,15911,17,5,13198,1921,
2,8.933067321777344,0,16,15733,15,5,13108,1921,
3,6.963014602661133,0,16,15727,15,5,13102,1921,
4,8.239030838012695,0,16,15727,15,5,13102,1921,
5,7.503032684326172,0,16,15729,15,5,13104,1921,
6,7.608890533447266,0,16,15732,15,5,13107,1921,
7,8.496999740600586,0,16,15730,15,5,13105,1921,
8,7.435083389282227,0,16,15728,15,5,13103,1921,
9,8.790969848632812,0,16,15721,15,5,13096,1921,
10,8.10384750366211,0,16,15732,15,5,13107,1921,
11,6.152868270874023,0,16,15727,15,5,13102,1921,
12,8.578062057495117,0,16,15727,15,5,13102,1921,
13,7.82012939453125,0,16,15728,15,5,13103,1921,
14,7.127046585083008,0,16,15721,15,5,13096,1921,
15,7.860898971557617,0,16,15730,15,5,13105,1921,
16,8.666038513183594,0,16,15728,15,5,13103,1921,
17,8.477926254272461,0,16,15723,15,5,13098,1921,
18,8.013010025024414,0,16,15727,15,5,13102,1921,
19,7.951021194458008,0,18,15904,17,5,13191,1921,
20,8.061885833740234,0,16,15733,15,5,13108,1921,
21,7.2498321533203125,0,16,15725,15,5,13100,1921,
22,8.873224258422852,0,16,15726,15,5,13101,1921,
23,7.936000823974609,0,16,15724,15,5,13099,1921,
24,7.533073425292969,0,16,15724,15,5,13099,1921,
25,7.218837738037109,0,16,15732,15,5,13107,1921,
26,6.392002105712891,0,16,15725,15,5,13100,1921,
27,7.971048355102539,0,16,15726,15,5,13101,1921,
28,10.203838348388672,0,16,15724,15,5,13099,1921,
29,7.729053497314453,0,16,15725,15,5,13100,1921,
30,7.39598274230957,0,18,15912,17,5,13199,1921,
31,6.360054016113281,0,16,15729,15,5,13104,1921,
32,7.482767105102539,0,16,15726,15,5,13101,1921,
33,8.852958679199219,0,16,15733,15,5,13108,1921,
34,7.276058197021484,0,18,15915,17,5,13202,1921,
35,7.884979248046875,0,16,15726,15,5,13101,1921,
36,6.237030029296875,0,18,15907,17,5,13194,1921,
37,7.896900177001953,0,16,15724,15,5,13099,1921,
38,9.258031845092773,0,16,15731,15,5,13106,1921,
39,9.80997085571289,0,16,15725,15,5,13100,1921,
40,7.045984268188477,0,16,15727,15,5,13102,1921,
41,6.438016891479492,0,16,15729,15,5,13104,1921,
42,8.285999298095703,0,16,15723,15,5,13098,1921,
43,8.71896743774414,0,16,15721,15,5,13096,1921,
44,6.524085998535156,0,16,15732,15,5,13107,1921,
45,7.16400146484375,0,16,15724,15,5,13099,1921,
46,7.857799530029297,0,16,15727,15,5,13102,1921,
47,8.564949035644531,0,16,15729,15,5,13104,1921,
48,6.453037261962891,0,16,15722,15,5,13097,1921,
49,8.665084838867188,0,16,15733,15,5,13108,1921,
50,6.7729949951171875,0,16,15732,15,5,13107,1921,
51,6.597042083740234,0,16,15723,15,5,13098,1921,
52,7.925987243652344,0,16,15724,15,5,13099,1921,
53,7.100820541381836,0,16,15724,15,5,13099,1921,
54,6.696939468383789,0,16,15733,15,5,13108,1921,
55,8.392095565795898,0,16,15725,15,5,13100,1921,
56,7.612943649291992,0,16,15732,15,5,13107,1921,
57,7.709026336669922,0,16,15732,15,5,13107,1921,
58,8.173942565917969,0,16,15727,15,5,13102,1921,
59,7.833003997802734,0,16,15727,15,5,13102,1921,
60,7.906198501586914,0,16,15733,15,5,13108,1921,
61,8.038997650146484,0,16,15727,15,5,13102,1921,
62,7.920026779174805,0,16,15731,15,5,13106,1921,
63,7.864952087402344,0,16,15731,15,5,13106,1921,
64,9.711027145385742,0,16,15723,15,5,13098,1921,
65,8.733034133911133,0,16,15729,15,5,13104,1921,
66,8.491992950439453,0,16,15731,15,5,13106,1921,
67,7.257938385009766,0,16,15723,15,5,13098,1921,
68,7.441043853759766,0,16,15727,15,5,13102,1921,
69,8.056163787841797,0,16,15730,15,5,13105,1921,
70,8.707046508789062,0,16,15730,15,5,13105,1921,
71,8.800983428955078,0,16,15724,15,5,13099,1921,
72,8.070945739746094,0,16,15725,15,5,13100,1921,
73,7.710933685302734,0,16,15730,15,5,13105,1921,
74,8.450031280517578,0,16,15726,15,5,13101,1921,
75,7.558107376098633,0,16,15730,15,5,13105,1921,
76,7.872819900512695,0,16,15731,15,5,13106,1921,
77,9.19198989868164,0,16,15725,15,5,13100,1921,
78,6.863117218017578,0,16,15724,15,5,13099,1921,
79,7.904052734375,0,16,15726,15,5,13101,1921,
80,8.344888687133789,0,16,15722,15,5,13097,1921,
81,8.044958114624023,0,16,15731,15,5,13106,1921,
82,8.777141571044922,0,16,15730,15,5,13105,1921,
83,7.302999496459961,0,16,15729,15,5,13104,1921,
84,9.344100952148438,0,18,15909,17,5,13196,1921,
85,9.243965148925781,0,16,15722,15,5,13097,1921,
86,8.094072341918945,0,16,15729,15,5,13104,1921,
87,6.968975067138672,0,16,15726,15,5,13101,1921,
88,9.566783905029297,0,16,15724,15,5,13099,1921,
89,7.7419281005859375,0,16,15726,15,5,13101,1921,
90,7.846832275390625,0,16,15726,15,5,13101,1921,
91,7.617950439453125,0,16,15724,15,5,13099,1921,
92,7.468938827514648,0,16,15730,15,5,13105,1921,
93,8.115053176879883,0,16,15729,15,5,13104,1921,
94,8.408069610595703,0,16,15725,15,5,13100,1921,
95,8.210897445678711,0,16,15728,15,5,13103,1921,
96,8.16798210144043,0,18,15906,17,5,13193,1921,
97,7.052898406982422,0,16,15723,15,5,13098,1921,
98,7.365942001342773,0,16,15727,15,5,13102,1921,
99,8.010149002075195,0,16,15732,15,5,13107,1921,
100,8.677005767822266,0,16,15724,15,5,13099,1921,
101,6.6089630126953125,0,16,15729,15,5,13104,1921,
102,8.910894393920898,0,16,15731,15,5,13106,1921,
103,7.46607780456543,0,16,15730,15,5,13105,1921,
104,8.496999740600586,0,16,15728,15,5,13103,1921,
105,7.646083831787109,0,16,15731,15,5,13106,1921,
106,7.481098175048828,0,16,15721,15,5,13096,1921,
107,8.622884750366211,0,16,15723,15,5,13098,1921,
108,8.59212875366211,0,16,15723,15,5,13098,1921,
109,8.620023727416992,0,16,15727,15,5,13102,1921,
110,8.126974105834961,0,16,15731,15,5,13106,1921,
