Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
0,8.366823196411133,0,16,15730,15,5,13105,1921,
1,7.819890975952148,0,16,15730,15,5,13105,1921,
2,8.234024047851562,0,18,15875,15,7,13100,1983,
3,9.507894515991211,0,16,15723,15,5,13098,1921,
4,7.558107376098633,0,16,15728,15,5,13103,1921,
5,6.881952285766602,0,16,15726,15,5,13101,1921,
6,7.673978805541992,0,16,15721,15,5,13096,1921,
7,9.154796600341797,0,16,15721,15,5,13096,1921,
8,8.266925811767578,0,16,15721,15,5,13096,1921,
9,6.798982620239258,0,16,15730,15,5,13105,1921,
10,7.8029632568359375,0,16,15728,15,5,13103,1921,
11,8.031845092773438,0,16,15727,15,5,13102,1921,
12,7.745981216430664,0,16,15726,15,5,13101,1921,
13,6.778955459594727,0,18,15907,17,5,13194,1921,
14,7.866144180297852,0,16,15723,15,5,13098,1921,
15,8.855819702148438,0,16,15731,15,5,13106,1921,
16,7.033109664916992,0,17,15812,16,5,13143,1921,
17,6.760120391845703,0,16,15731,15,5,13106,1921,
18,7.707118988037109,0,16,15721,15,5,13096,1921,
19,6.992101669311523,0,16,15723,15,5,13098,1921,
20,7.153987884521484,0,16,15732,15,5,13107,1921,
21,8.22901725769043,0,16,15727,15,5,13102,1921,
22,7.175922393798828,0,16,15728,15,5,13103,1921,
23,9.96708869934082,0,16,15730,15,5,13105,1921,
24,8.59212875366211,0,16,15731,15,5,13106,1921,
25,7.833957672119141,0,16,15725,15,5,13100,1921,
26,8.665084838867188,0,18,15883,15,7,13108,1983,
27,6.8359375,0,18,15914,17,5,13201,1921,
28,7.46607780456543,0,16,15725,15,5,13100,1921,
29,7.663965225219727,0,16,15724,15,5,13099,1921,
30,6.918191909790039,0,18,15904,17,5,13191,1921,
31,8.793115615844727,0,16,15731,15,5,13106,1921,
32,6.941080093383789,0,16,15732,15,5,13107,1921,
33,6.843090057373047,0,16,15725,15,5,13100,1921,
34,7.539033889770508,0,16,15729,15,5,13104,1921,
35,8.517980575561523,0,16,15732,15,5,13107,1921,
36,6.9599151611328125,0,16,15726,15,5,13101,1921,
37,7.622957229614258,0,16,15730,15,5,13105,1921,
38,7.736921310424805,0,16,15725,15,5,13100,1921,
39,8.346796035766602,0,16,15726,15,5,13101,1921,
40,7.63702392578125,0,16,15728,15,5,13103,1921,
41,8.726835250854492,0,16,15733,15,5,13108,1921,
42,8.376121520996094,0,16,15721,15,5,13096,1921,
43,6.80994987487793,0,16,15722,15,5,13097,1921,
44,7.4939727783203125,0,16,15721,15,5,13096,1921,
45,7.438898086547852,0,16,15724,15,5,13099,1921,
46,8.189201354980469,0,16,15723,15,5,13098,1921,
47,7.915973663330078,0,16,15733,15,5,13108,1921,
48,6.814002990722656,0,16,15733,15,5,13108,1921,
49,7.761955261230469,0,16,15729,15,5,13104,1921,
50,8.327007293701172,0,16,15731,15,5,13106,1921,
51,7.736921310424805,0,16,15727,15,5,13102,1921,
52,9.681940078735352,0,18,15911,17,5,13198,1921,
53,7.205963134765625,0,18,15914,17,5,13201,1921,
54,8.096933364868164,0,16,15727,15,5,13102,1921,
55,7.807016372680664,0,16,15723,15,5,13098,1921,
56,7.354974746704102,0,16,15732,15,5,13107,1921,
57,9.045124053955078,0,16,15729,15,5,13104,1921,
58,8.26716423034668,0,16,15727,15,5,13102,1921,
59,7.4138641357421875,0,16,15721,15,5,13096,1921,
60,8.22305679321289,0,16,15727,15,5,13102,1921,
61,7.133007049560547,0,16,15730,15,5,13105,1921,
62,8.419990539550781,0,18,15906,17,5,13193,1921,
63,7.233142852783203,0,16,15729,15,5,13104,1921,
64,7.562160491943359,0,16,15726,15,5,13101,1921,
65,8.083105087280273,0,16,15721,15,5,13096,1921,
66,8.082151412963867,0,16,15728,15,5,13103,1921,
67,7.129192352294922,0,16,15726,15,5,13101,1921,
68,7.501840591430664,0,16,15721,15,5,13096,1921,
69,7.076025009155273,0,16,15724,15,5,13099,1921,
70,7.511138916015625,0,16,15730,15,5,13105,1921,
71,7.905006408691406,0,18,15910,17,5,13197,1921,
72,7.425069808959961,0,16,15733,15,5,13108,1921,
73,8.212089538574219,0,16,15733,15,5,13108,1921,
74,7.876873016357422,0,16,15724,15,5,13099,1921,
75,6.685018539428711,0,16,15728,15,5,13103,1921,
76,6.467103958129883,0,16,15722,15,5,13097,1921,
77,7.33494758605957,0,16,15730,15,5,13105,1921,
78,6.894826889038086,0,16,15728,15,5,13103,1921,
79,7.78508186340332,0,16,15727,15,5,13102,1921,
80,7.4520111083984375,0,16,15729,15,5,13104,1921,
81,7.529020309448242,0,16,15728,15,5,13103,1921,
82,7.854938507080078,0,16,15725,15,5,13100,1921,
83,7.126092910766602,0,16,15721,15,5,13096,1921,
84,6.053924560546875,0,16,15731,15,5,13106,1921,
85,7.873773574829102,0,16,15733,15,5,13108,1921,
86,8.651018142700195,0,16,15726,15,5,13101,1921,
87,7.586956024169922,0,16,15731,15,5,13106,1921,
88,6.4029693603515625,0,16,15728,15,5,13103,1921,
89,6.362199783325195,0,16,15723,15,5,13098,1921,
90,7.876157760620117,0,16,15721,15,5,13096,1921,
91,9.743928909301758,0,18,15904,17,5,13191,1921,
92,7.800102233886719,0,16,15721,15,5,13096,1921,
93,7.879972457885742,0,18,15955,17,5,13242,1921,
94,6.484031677246094,0,16,15724,15,5,13099,1921,
95,7.319927215576172,0,16,15731,15,5,13106,1921,
96,7.145166397094727,0,16,15729,15,5,13104,1921,
97,7.590055465698242,0,18,15913,17,5,13200,1921,
98,6.995916366577148,0,18,15908,17,5,13195,1921,
99,6.479024887084961,0,16,15724,15,5,13099,1921,
100,7.6999664306640625,0,16,15733,15,5,13108,1921,
101,7.400035858154297,0,16,15727,15,5,13102,1921,
102,6.90913200378418,0,18,15911,17,5,13198,1921,
103,8.824825286865234,0,16,15722,15,5,13097,1921,
104,6.495952606201172,0,16,15729,15,5,13104,1921,
105,6.524085998535156,0,16,15723,15,5,13098,1921,
106,7.288932800292969,0,16,15721,15,5,13096,1921,
107,6.9179534912109375,0,16,15729,15,5,13104,1921,
108,6.833076477050781,0,16,15727,15,5,13102,1921,
109,6.579160690307617,0,16,15728,15,5,13103,1921,
110,7.622003555297852,0,16,15730,15,5,13105,1921,
111,6.480932235717773,0,16,15729,15,5,13104,1921,
112,8.564949035644531,0,18,15906,17,5,13193,1921,
113,8.090019226074219,0,16,15731,15,5,13106,1921,
114,8.427858352661133,0,18,15912,17,5,13199,1921,
115,7.0781707763671875,0,16,15728,15,5,13103,1921,
116,7.098913192749023,0,16,15725,15,5,13100,1921,
