Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
0,11.152982711791992,0,19,19250,18,5,16493,1921,
1,9.479999542236328,0,19,19245,18,5,16488,1921,
2,8.954048156738281,0,19,19248,18,5,16491,1921,
3,8.154153823852539,0,19,19250,18,5,16493,1921,
4,10.085105895996094,0,19,19245,18,5,16488,1921,
5,9.436845779418945,0,19,19239,18,5,16482,1921,
6,8.401155471801758,0,19,19248,18,5,16491,1921,
7,8.357048034667969,0,19,19245,18,5,16488,1921,
8,8.764982223510742,0,19,19243,18,5,16486,1921,
9,8.239030838012695,0,19,19241,18,5,16484,1921,
10,9.48190689086914,0,21,19429,20,5,16584,1921,
11,8.204936981201172,0,19,19241,18,5,16484,1921,
12,8.99195671081543,0,21,19431,20,5,16586,1921,
13,8.129119873046875,0,19,19244,18,5,16487,1921,
14,7.7991485595703125,0,19,19250,18,5,16493,1921,
15,8.082866668701172,0,19,19246,18,5,16489,1921,
16,8.217096328735352,0,19,19239,18,5,16482,1921,
17,9.911060333251953,0,21,19426,20,5,16581,1921,
18,8.7890625,0,19,19248,18,5,16491,1921,
19,8.703947067260742,0,19,19245,18,5,16488,1921,
20,8.906126022338867,0,19,19240,18,5,16483,1921,
21,8.934974670410156,0,19,19249,18,5,16492,1921,
22,10.450124740600586,0,21,19426,20,5,16581,1921,
23,9.627103805541992,0,19,19246,18,5,16489,1921,
24,8.729934692382812,0,19,19244,18,5,16487,1921,
25,9.212970733642578,0,19,19242,18,5,16485,1921,
26,8.879899978637695,0,19,19239,18,5,16482,1921,
27,9.69696044921875,0,19,19244,18,5,16487,1921,
28,8.571863174438477,0,19,19240,18,5,16483,1921,
29,9.241104125976562,0,21,19423,20,5,16578,1921,
30,8.897066116333008,0,19,19241,18,5,16484,1921,
31,8.085012435913086,0,19,19238,18,5,16481,1921,
32,8.002042770385742,0,21,19427,20,5,16582,1921,
33,7.773876190185547,0,21,19431,20,5,16586,1921,
34,8.507013320922852,0,21,19424,20,5,16579,1921,
35,7.963895797729492,0,21,19432,20,5,16587,1921,
36,8.34798812866211,0,21,19420,20,5,16575,1921,
37,10.181903839111328,0,19,19240,18,5,16483,1921,
38,7.709980010986328,0,19,19249,18,5,16492,1921,
39,7.940053939819336,0,19,19238,18,5,16481,1921,
