Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
0,6.846904754638672,0,14,13162,13,5,10625,1921,
1,7.970094680786133,0,14,13155,13,5,10618,1921,
2,6.549835205078125,0,14,13157,13,5,10620,1921,
3,6.7119598388671875,0,14,13160,13,5,10623,1921,
4,7.966041564941406,0,14,13155,13,5,10618,1921,
5,6.829977035522461,0,14,13162,13,5,10625,1921,
6,6.781101226806641,0,14,13164,13,5,10627,1921,
7,7.736921310424805,0,14,13162,13,5,10625,1921,
8,8.772850036621094,0,14,13159,13,5,10622,1921,
9,6.971120834350586,0,14,13158,13,5,10621,1921,
10,7.42793083190918,0,14,13162,13,5,10625,1921,
11,6.653070449829102,0,14,13158,13,5,10621,1921,
12,7.371187210083008,0,14,13161,13,5,10624,1921,
13,6.784915924072266,0,14,13157,13,5,10620,1921,
14,6.931066513061523,0,14,13156,13,5,10619,1921,
15,5.890130996704102,0,14,13154,13,5,10617,1921,
16,7.985115051269531,0,14,13154,13,5,10617,1921,
17,5.958080291748047,0,14,13165,13,5,10628,1921,
18,7.513999938964844,0,14,13158,13,5,10621,1921,
19,6.521940231323242,0,14,13162,13,5,10625,1921,
20,7.421016693115234,0,14,13162,13,5,10625,1921,
21,7.200002670288086,0,14,13156,13,5,10619,1921,
22,6.4678192138671875,0,14,13156,13,5,10619,1921,
23,6.615877151489258,0,14,13153,13,5,10616,1921,
24,7.244110107421875,0,14,13162,13,5,10625,1921,
25,6.5441131591796875,0,14,13153,13,5,10616,1921,
26,7.395029067993164,0,14,13159,13,5,10622,1921,
27,7.364034652709961,0,14,13153,13,5,10616,1921,
28,5.96308708190918,0,14,13159,13,5,10622,1921,
29,8.342981338500977,0,14,13161,13,5,10624,1921,
30,7.913112640380859,0,14,13156,13,5,10619,1921,
31,6.8111419677734375,0,14,13162,13,5,10625,1921,
32,6.657838821411133,0,14,13153,13,5,10616,1921,
