Timestamp,Timestamp (Seconds),CPU %,CPU Frequency,Virtual Memory %,Virtual Memory,Swap Memory %,Swap Memory,Disk Usage %,Disk Usage,
2021-05-18 13:11:02.985913,1621343462.985913,50.0,,13.0,735834112,0.0,0,82.8,41313992704,
2021-05-18 13:11:03.990577,1621343463.990577,8.1,,13.1,746024960,0.0,0,82.8,41313992704,
2021-05-18 13:11:05.009064,1621343465.009064,6.0,,13.1,747085824,0.0,0,82.8,41313992704,
2021-05-18 13:11:06.014281,1621343466.014281,0.5,,13.1,747057152,0.0,0,82.8,41313992704,
2021-05-18 13:11:07.019968,1621343467.019968,0.5,,13.1,747057152,0.0,0,82.8,41313992704,
2021-05-18 13:11:08.022187,1621343468.022187,2.0,,13.1,747057152,0.0,0,82.8,41313992704,
2021-05-18 13:11:09.031399,1621343469.031399,2.0,,13.1,747057152,0.0,0,82.8,41313992704,
2021-05-18 13:11:10.037597,1621343470.037597,12.1,,13.1,747061248,0.0,0,82.8,41313992704,
2021-05-18 13:11:11.041633,1621343471.041633,4.6,,13.1,747061248,0.0,0,82.8,41313996800,
2021-05-18 13:11:12.045335,1621343472.045335,6.0,,13.1,747057152,0.0,0,82.8,41313996800,
2021-05-18 13:11:13.047418,1621343473.047418,2.0,,13.2,749252608,0.0,0,82.8,41314000896,
2021-05-18 13:11:14.057251,1621343474.057251,0.5,,13.2,749109248,0.0,0,82.8,41314000896,
2021-05-18 13:11:15.060099,1621343475.060099,4.1,,13.2,749105152,0.0,0,82.8,41314004992,
2021-05-18 13:11:16.154418,1621343476.154418,0.0,,13.2,749105152,0.0,0,82.8,41314004992,
2021-05-18 13:11:17.191985,1621343477.191985,1.0,,13.2,749105152,0.0,0,82.8,41314004992,
2021-05-18 13:11:18.247817,1621343478.247817,0.0,,13.2,749101056,0.0,0,82.8,41314004992,
2021-05-18 13:11:19.253804,1621343479.253804,0.5,,13.2,749096960,0.0,0,82.8,41314004992,
2021-05-18 13:11:20.382227,1621343480.382227,2.7,,13.2,748834816,0.0,0,82.8,41314009088,
2021-05-18 13:11:21.563409,1621343481.563409,0.8,,13.2,748834816,0.0,0,82.8,41314009088,
2021-05-18 13:11:22.566182,1621343482.566182,0.0,,13.2,748834816,0.0,0,82.8,41314009088,
2021-05-18 13:11:23.707672,1621343483.707672,0.0,,13.2,748056576,0.0,0,82.8,41314009088,
2021-05-18 13:11:24.743336,1621343484.743336,0.5,,13.2,748056576,0.0,0,82.8,41314013184,
2021-05-18 13:11:25.759640,1621343485.75964,0.5,,13.2,748044288,0.0,0,82.8,41314013184,
2021-05-18 13:11:26.765088,1621343486.765088,0.0,,13.2,748044288,0.0,0,82.8,41314013184,
2021-05-18 13:11:27.767563,1621343487.767563,0.0,,13.2,748044288,0.0,0,82.8,41314013184,
2021-05-18 13:11:28.770148,1621343488.770148,0.0,,13.2,748044288,0.0,0,82.8,41314013184,
2021-05-18 13:11:29.774709,1621343489.774709,3.5,,13.1,747286528,0.0,0,82.8,41314013184,
2021-05-18 13:11:30.779409,1621343490.779409,0.0,,13.2,747294720,0.0,0,82.8,41314017280,
2021-05-18 13:11:31.782878,1621343491.782878,0.5,,13.2,747290624,0.0,0,82.8,41314017280,
2021-05-18 13:11:32.795628,1621343492.795628,0.0,,13.2,747286528,0.0,0,82.8,41314021376,
2021-05-18 13:11:33.840883,1621343493.840883,0.0,,13.2,747286528,0.0,0,82.8,41314021376,
2021-05-18 13:11:34.867477,1621343494.867477,0.5,,13.2,747286528,0.0,0,82.8,41314021376,
2021-05-18 13:11:35.869781,1621343495.869781,0.0,,13.1,747286528,0.0,0,82.8,41314021376,
2021-05-18 13:11:36.871818,1621343496.871818,0.5,,13.1,747278336,0.0,0,82.8,41314021376,
2021-05-18 13:11:37.898837,1621343497.898837,0.0,,13.1,747278336,0.0,0,82.8,41314021376,
2021-05-18 13:11:38.968309,1621343498.968309,0.5,,13.1,747278336,0.0,0,82.8,41314021376,
2021-05-18 13:11:40.069859,1621343500.069859,2.7,,13.2,747368448,0.0,0,82.8,41314025472,
2021-05-18 13:11:41.076550,1621343501.07655,0.5,,13.1,747274240,0.0,0,82.8,41314025472,
2021-05-18 13:11:42.078891,1621343502.078891,0.5,,13.1,747274240,0.0,0,82.8,41314025472,
