Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,,CPU utilization,Memory bytes,Disk bytes,
1616976062.276988,1616976062.286149,0,9.160995483398438,0,16,15721,15,5,13096,1921,,0.0,0,0,
1616976062.289387,1616976062.297494,1,8.10694694519043,0,18,15911,17,5,13198,1921,,0.0,0,0,
1616976062.301192,1616976062.310125,2,8.933067321777344,0,16,15733,15,5,13108,1921,,0.0,0,0,
1616976062.312991,1616976062.319954,3,6.963014602661133,0,16,15727,15,5,13102,1921,,0.0,0,0,
1616976062.323571,1616976062.33181,4,8.239030838012695,0,16,15727,15,5,13102,1921,,0.0,0,0,
1616976062.335564,1616976062.343067,5,7.503032684326172,0,16,15729,15,5,13104,1921,,0.0,0,0,
1616976062.34606,1616976062.353669,6,7.608890533447266,0,16,15732,15,5,13107,1921,,0.0,0,0,
1616976062.357032,1616976062.365529,7,8.496999740600586,0,16,15730,15,5,13105,1921,,0.0,0,0,
1616976062.36852,1616976062.375955,8,7.435083389282227,0,16,15728,15,5,13103,1921,,0.0,0,0,
1616976062.379849,1616976062.38864,9,8.790969848632812,0,16,15721,15,5,13096,1921,,0.0,0,0,
1616976062.39208,1616976062.400184,10,8.10384750366211,0,16,15732,15,5,13107,1921,,0.0,0,0,
1616976062.403022,1616976062.409175,11,6.152868270874023,0,16,15727,15,5,13102,1921,,0.0,0,0,
1616976062.412483,1616976062.421061,12,8.578062057495117,0,16,15727,15,5,13102,1921,,0.0,0,0,
1616976062.424058,1616976062.431878,13,7.82012939453125,0,16,15728,15,5,13103,1921,,0.0,0,0,
1616976062.43454,1616976062.441667,14,7.127046585083008,0,16,15721,15,5,13096,1921,,0.0,0,0,
1616976062.444479,1616976062.45234,15,7.860898971557617,0,16,15730,15,5,13105,1921,,0.0,0,0,
1616976062.454802,1616976062.463468,16,8.666038513183594,0,16,15728,15,5,13103,1921,,0.0,0,0,
1616976062.466212,1616976062.47469,17,8.477926254272461,0,16,15723,15,5,13098,1921,,0.0,0,0,
1616976062.477525,1616976062.485538,18,8.013010025024414,0,16,15727,15,5,13102,1921,,0.0,0,0,
1616976062.488551,1616976062.496502,19,7.951021194458008,0,18,15904,17,5,13191,1921,,0.0,0,0,
1616976062.500221,1616976062.508283,20,8.061885833740234,0,16,15733,15,5,13108,1921,,0.0,0,0,
1616976062.511141,1616976062.518391,21,7.2498321533203125,0,16,15725,15,5,13100,1921,,0.0,0,0,
1616976062.521129,1616976062.530002,22,8.873224258422852,0,16,15726,15,5,13101,1921,,0.0,0,0,
1616976062.533711,1616976062.541647,23,7.936000823974609,0,16,15724,15,5,13099,1921,,0.0,0,0,
1616976062.545459,1616976062.552992,24,7.533073425292969,0,16,15724,15,5,13099,1921,,0.0,0,0,
1616976062.555911,1616976062.56313,25,7.218837738037109,0,16,15732,15,5,13107,1921,,0.0,0,0,
1616976062.566384,1616976062.572776,26,6.392002105712891,0,16,15725,15,5,13100,1921,,0.0,0,0,
1616976062.576009,1616976062.58398,27,7.971048355102539,0,16,15726,15,5,13101,1921,,0.0,0,0,
1616976062.588828,1616976062.599032,28,10.203838348388672,0,16,15724,15,5,13099,1921,,0.0,0,0,
1616976062.601987,1616976062.609716,29,7.729053497314453,0,16,15725,15,5,13100,1921,,0.0,0,0,
1616976062.613436,1616976062.620832,30,7.39598274230957,0,18,15912,17,5,13199,1921,,0.0,0,0,
1616976062.62358,1616976062.62994,31,6.360054016113281,0,16,15729,15,5,13104,1921,,0.0,0,0,
1616976062.633757,1616976062.64124,32,7.482767105102539,0,16,15726,15,5,13101,1921,,0.0,0,0,
1616976062.645065,1616976062.653918,33,8.852958679199219,0,16,15733,15,5,13108,1921,,0.0,0,0,
1616976062.656941,1616976062.664217,34,7.276058197021484,0,18,15915,17,5,13202,1921,,0.0,0,0,
1616976062.667596,1616976062.675481,35,7.884979248046875,0,16,15726,15,5,13101,1921,,0.0,0,0,
1616976062.679895,1616976062.686132,36,6.237030029296875,0,18,15907,17,5,13194,1921,,0.0,0,0,
1616976062.688949,1616976062.696846,37,7.896900177001953,0,16,15724,15,5,13099,1921,,0.0,0,0,
1616976062.700931,1616976062.710189,38,9.258031845092773,0,16,15731,15,5,13106,1921,,0.0,0,0,
1616976062.714488,1616976062.724298,39,9.80997085571289,0,16,15725,15,5,13100,1921,,0.0,0,0,
1616976062.727138,1616976062.734184,40,7.045984268188477,0,16,15727,15,5,13102,1921,,0.0,0,0,
1616976062.738075,1616976062.744513,41,6.438016891479492,0,16,15729,15,5,13104,1921,,0.0,0,0,
1616976062.74782,1616976062.756106,42,8.285999298095703,0,16,15723,15,5,13098,1921,,0.0,0,0,
1616976062.759779,1616976062.768498,43,8.71896743774414,0,16,15721,15,5,13096,1921,,0.0,0,0,
1616976062.771797,1616976062.778321,44,6.524085998535156,0,16,15732,15,5,13107,1921,,0.0,0,0,
1616976062.781112,1616976062.788276,45,7.16400146484375,0,16,15724,15,5,13099,1921,,0.0,0,0,
1616976062.791634,1616976062.799492,46,7.857799530029297,0,16,15727,15,5,13102,1921,,0.0,0,0,
1616976062.802258,1616976062.810823,47,8.564949035644531,0,16,15729,15,5,13104,1921,,0.0,0,0,
1616976062.813668,1616976062.820121,48,6.453037261962891,0,16,15722,15,5,13097,1921,,0.0,0,0,
1616976062.823915,1616976062.83258,49,8.665084838867188,0,16,15733,15,5,13108,1921,,0.0,0,0,
1616976062.835555,1616976062.842328,50,6.7729949951171875,0,16,15732,15,5,13107,1921,,0.0,0,0,
1616976062.845072,1616976062.851669,51,6.597042083740234,0,16,15723,15,5,13098,1921,,0.0,0,0,
1616976062.855514,1616976062.86344,52,7.925987243652344,0,16,15724,15,5,13099,1921,,0.0,0,0,
1616976062.867113,1616976062.874214,53,7.100820541381836,0,16,15724,15,5,13099,1921,,0.0,0,0,
1616976062.877703,1616976062.8844,54,6.696939468383789,0,16,15733,15,5,13108,1921,,0.0,0,0,
1616976062.888135,1616976062.896527,55,8.392095565795898,0,16,15725,15,5,13100,1921,,0.0,0,0,
1616976062.899595,1616976062.907208,56,7.612943649291992,0,16,15732,15,5,13107,1921,,0.0,0,0,
1616976062.910461,1616976062.91817,57,7.709026336669922,0,16,15732,15,5,13107,1921,,0.0,0,0,
1616976062.921739,1616976062.929913,58,8.173942565917969,0,16,15727,15,5,13102,1921,,0.0,0,0,
1616976062.93344,1616976062.941273,59,7.833003997802734,0,16,15727,15,5,13102,1921,,0.0,0,0,
1616976062.944815,1616976062.952721,60,7.906198501586914,0,16,15733,15,5,13108,1921,,0.0,0,0,
1616976062.955858,1616976062.963897,61,8.038997650146484,0,16,15727,15,5,13102,1921,,0.0,0,0,
1616976062.967483,1616976062.975403,62,7.920026779174805,0,16,15731,15,5,13106,1921,,0.0,0,0,
1616976062.978954,1616976062.986819,63,7.864952087402344,0,16,15731,15,5,13106,1921,,0.0,0,0,
1616976062.99071,1616976063.000421,64,9.711027145385742,0,16,15723,15,5,13098,1921,,0.0,0,0,
1616976063.003936,1616976063.012669,65,8.733034133911133,0,16,15729,15,5,13104,1921,,0.0,0,0,
1616976063.016278,1616976063.02477,66,8.491992950439453,0,16,15731,15,5,13106,1921,,0.0,0,0,
1616976063.027617,1616976063.034875,67,7.257938385009766,0,16,15723,15,5,13098,1921,,0.0,0,0,
1616976063.038114,1616976063.045555,68,7.441043853759766,0,16,15727,15,5,13102,1921,,0.0,0,0,
1616976063.050022,1616976063.058078,69,8.056163787841797,0,16,15730,15,5,13105,1921,,0.0,0,0,
1616976063.060538,1616976063.069245,70,8.707046508789062,0,16,15730,15,5,13105,1921,,0.0,0,0,
1616976063.072755,1616976063.081556,71,8.800983428955078,0,16,15724,15,5,13099,1921,,0.0,0,0,
1616976063.085179,1616976063.09325,72,8.070945739746094,0,16,15725,15,5,13100,1921,,0.0,0,0,
1616976063.097109,1616976063.10482,73,7.710933685302734,0,16,15730,15,5,13105,1921,,0.0,0,0,
1616976063.108202,1616976063.116652,74,8.450031280517578,0,16,15726,15,5,13101,1921,,0.0,0,0,
1616976063.120067,1616976063.127625,75,7.558107376098633,0,16,15730,15,5,13105,1921,,0.0,0,0,
1616976063.131282,1616976063.139155,76,7.872819900512695,0,16,15731,15,5,13106,1921,,0.0,0,0,
1616976063.142268,1616976063.15146,77,9.19198989868164,0,16,15725,15,5,13100,1921,,0.0,0,0,
1616976063.154857,1616976063.16172,78,6.863117218017578,0,16,15724,15,5,13099,1921,,0.0,0,0,
1616976063.165021,1616976063.172925,79,7.904052734375,0,16,15726,15,5,13101,1921,,0.0,0,0,
1616976063.177052,1616976063.185397,80,8.344888687133789,0,16,15722,15,5,13097,1921,,0.0,0,0,
1616976063.189037,1616976063.197082,81,8.044958114624023,0,16,15731,15,5,13106,1921,,0.0,0,0,
1616976063.200681,1616976063.209458,82,8.777141571044922,0,16,15730,15,5,13105,1921,,0.0,0,0,
1616976063.212436,1616976063.219739,83,7.302999496459961,0,16,15729,15,5,13104,1921,,0.0,0,0,
1616976063.223867,1616976063.233211,84,9.344100952148438,0,18,15909,17,5,13196,1921,,0.0,0,0,
1616976063.23705,1616976063.246294,85,9.243965148925781,0,16,15722,15,5,13097,1921,,0.0,0,0,
1616976063.249477,1616976063.257571,86,8.094072341918945,0,16,15729,15,5,13104,1921,,0.0,0,0,
1616976063.261015,1616976063.267984,87,6.968975067138672,0,16,15726,15,5,13101,1921,,0.0,0,0,
1616976063.271428,1616976063.280995,88,9.566783905029297,0,16,15724,15,5,13099,1921,,0.0,0,0,
1616976063.284735,1616976063.292477,89,7.7419281005859375,0,16,15726,15,5,13101,1921,,0.0,0,0,
1616976063.295793,1616976063.30364,90,7.846832275390625,0,16,15726,15,5,13101,1921,,0.0,0,0,
1616976063.307564,1616976063.315182,91,7.617950439453125,0,16,15724,15,5,13099,1921,,0.0,0,0,
1616976063.318905,1616976063.326374,92,7.468938827514648,0,16,15730,15,5,13105,1921,,0.0,0,0,
1616976063.329902,1616976063.338017,93,8.115053176879883,0,16,15729,15,5,13104,1921,,0.0,0,0,
1616976063.341902,1616976063.35031,94,8.408069610595703,0,16,15725,15,5,13100,1921,,0.0,0,0,
1616976063.353858,1616976063.362069,95,8.210897445678711,0,16,15728,15,5,13103,1921,,0.0,0,0,
1616976063.365271,1616976063.373439,96,8.16798210144043,0,18,15906,17,5,13193,1921,,0.0,0,0,
1616976063.377474,1616976063.384527,97,7.052898406982422,0,16,15723,15,5,13098,1921,,0.0,0,0,
1616976063.387859,1616976063.395225,98,7.365942001342773,0,16,15727,15,5,13102,1921,,0.0,0,0,
1616976063.39832,1616976063.40633,99,8.010149002075195,0,16,15732,15,5,13107,1921,,0.0,0,0,
1616976063.409389,1616976063.418066,100,8.677005767822266,0,16,15724,15,5,13099,1921,,0.0,0,0,
1616976063.421477,1616976063.428086,101,6.6089630126953125,0,16,15729,15,5,13104,1921,,0.0,0,0,
1616976063.431677,1616976063.440588,102,8.910894393920898,0,16,15731,15,5,13106,1921,,0.0,0,0,
1616976063.444139,1616976063.451605,103,7.46607780456543,0,16,15730,15,5,13105,1921,,0.0,0,0,
